date,total_value,cash,n_positions,gross_value
2024-03-01,1771552.5899822537,-4459.628626777313,10,1776012.218609031
2024-03-04,1765870.7559399202,-4459.628626777313,10,1770330.3845666975
2024-03-05,1755004.949229941,-4459.628626777313,10,1759464.5778567183
2024-03-06,1757193.4269474794,-4459.628626777313,10,1761653.0555742567
2024-03-07,1754294.4607014158,-4459.628626777313,10,1758754.089328193
2024-03-11,1744822.0691890467,-4459.628626777313,10,1749281.697815824
2024-03-12,1734605.7294543204,-4459.628626777313,10,1739065.3580810977
2024-03-13,1691891.3637543707,-4459.628626777313,10,1696350.992381148
2024-03-14,1714289.044583072,-4459.628626777313,10,1718748.6732098493
2024-03-15,1702526.1316891613,-2818.1394018143365,10,1705344.2710909757
2024-03-18,1695609.8928524232,-2818.1394018143365,10,1698428.0322542377
2024-03-19,1669127.8660784701,-2818.1394018143365,10,1671946.0054802846
2024-03-20,1680995.584252265,-2818.1394018143365,10,1683813.7236540795
2024-03-21,1693749.9479268682,-2818.1394018143365,10,1696568.0873286827
2024-03-22,1699479.5802768515,-2818.1394018143365,10,1702297.719678666
2024-03-26,1695840.0309103914,-2818.1394018143365,10,1698658.1703122058
2024-03-27,1697983.0917911998,-2818.1394018143365,10,1700801.2311930142
2024-03-28,1722667.894778449,-2818.1394018143365,10,1725486.0341802635
2024-04-01,1722939.8541907582,-2818.1394018143365,10,1725757.9935925726
2024-04-02,1717327.5993192312,-2818.1394018143365,10,1720145.7387210457
2024-04-03,1709239.8689671224,-2818.1394018143365,10,1712058.0083689368
2024-04-04,1709786.6621037412,-2818.1394018143365,10,1712604.8015055556
2024-04-05,1709854.9019022416,-2818.1394018143365,10,1712673.041304056
2024-04-08,1711202.5300310326,-2818.1394018143365,10,1714020.669432847
2024-04-09,1710946.745398929,-2818.1394018143365,10,1713764.8848007435
2024-04-10,1732612.8840352967,-2818.1394018143365,10,1735431.0234371112
2024-04-12,1719005.4843340458,-2818.1394018143365,10,1721823.6237358602
2024-04-15,1699746.2385808274,-2818.1394018143365,10,1702564.3779826418
2024-04-16,1686089.072005929,-2818.1394018143365,10,1688907.2114077434
2024-04-18,1673654.6505527021,-2183.5642972881346,10,1675838.2148499903
2024-04-19,1687205.3445352896,-2183.5642972881346,10,1689388.9088325778
2024-04-22,1700444.3387970617,-2183.5642972881346,10,1702627.90309435
2024-04-23,1704774.1238732648,-2183.5642972881346,10,1706957.688170553
2024-04-24,1721453.573279536,-2183.5642972881346,10,1723637.1375768243
2024-04-25,1715224.5931809493,-2183.5642972881346,10,1717408.1574782375
2024-04-26,1702104.4416841124,-2183.5642972881346,10,1704288.0059814006
2024-04-29,1705480.169170036,-2183.5642972881346,10,1707663.7334673242
2024-04-30,1708985.9432355147,-2183.5642972881346,10,1711169.5075328029
2024-05-02,1726072.8283612684,-2183.5642972881346,10,1728256.3926585566
2024-05-03,1711155.4932130931,-2183.5642972881346,10,1713339.0575103813
2024-05-06,1704534.4384342723,-2183.5642972881346,10,1706718.0027315605
2024-05-07,1690006.577546847,-2183.5642972881346,10,1692190.1418441352
2024-05-08,1697127.1754301172,-2183.5642972881346,10,1699310.7397274054
2024-05-09,1655408.4270364903,-2183.5642972881346,10,1657591.9913337785
2024-05-10,1672257.592772383,-2183.5642972881346,10,1674441.1570696712
2024-05-13,1686153.5156595511,-2183.5642972881346,10,1688337.0799568393
2024-05-14,1706950.9495205937,-2183.5642972881346,10,1709134.513817882
2024-05-15,1710888.0766393861,-2183.5642972881346,10,1713071.6409366743
2024-05-16,1724909.798131739,-2183.5642972881346,10,1727093.3624290272
2024-05-17,1735780.6817148286,-3424.509161863478,10,1739205.190876692
2024-05-21,1748297.1602318056,-3424.509161863478,10,1751721.669393669
2024-05-22,1759160.4060142522,-3424.509161863478,10,1762584.9151761157
2024-05-23,1791893.477344563,-3424.509161863478,10,1795317.9865064265
2024-05-24,1785810.184280541,-3424.509161863478,10,1789234.6934424045
2024-05-27,1770573.7371066061,-3424.509161863478,10,1773998.2462684696
2024-05-28,1764475.361782096,-3424.509161863478,10,1767899.8709439596
2024-05-29,1755064.4442660082,-3424.509161863478,10,1758488.9534278717
2024-05-30,1723503.2651115144,-3424.509161863478,10,1726927.7742733778
2024-05-31,1737971.830595937,-3424.509161863478,10,1741396.3397578006
2024-06-03,1797874.9608361037,-3424.509161863478,10,1801299.4699979671
2024-06-04,1655457.7896775804,-3424.509161863478,10,1658882.2988394438
2024-06-05,1711967.2938433802,-3424.509161863478,10,1715391.8030052437
2024-06-06,1738657.9398196128,-3424.509161863478,10,1742082.4489814762
2024-06-07,1771107.4988595874,-3424.509161863478,10,1774532.0080214508
