date,ticker,side,shares,effective_price,notional_inr,cost_inr,meta_fold_id,meta_slip_bps
2025-02-04,ONGC,sell,713.9284528603633,236.22960443115235,168651.03601134822,260.14105925868506,0,5.0
2025-02-04,INDUSINDBK,sell,183.65729314826578,1046.6264494018556,192220.58063452513,296.4966396898987,0,5.0
2025-02-04,HINDUNILVR,sell,76.42775056345393,2392.6629333496094,182865.84585246592,282.06713677759404,0,5.0
2025-02-04,ADANIENT,buy,79.24910025518756,2301.509798950195,182392.58079530057,126.09972220081693,0,5.0
2025-02-04,ICICIBANK,buy,144.85734484087257,1259.1186245727538,182392.58079530057,126.09972220081693,0,5.0
2025-02-04,NTPC,buy,13.620591179056783,311.05055863952634,4236.692495246217,2.9290980168783216,0,5.0
2025-02-04,POWERGRID,buy,666.7646588046198,273.5486627655029,182392.58079530054,126.09972220081693,0,5.0
2025-02-04,SBIN,buy,238.65754573050165,764.2439305114746,182392.58079530057,126.09972220081693,0,5.0
2025-02-04,NESTLEIND,buy,161.11246607298753,1132.0823598632812,182392.58079530054,126.09972220081693,0,5.0
2025-02-04,TATACONSUM,buy,177.57934133770885,1027.1047263793944,182392.58079530054,126.09972220081693,0,5.0
2025-02-04,BEL,buy,648.5714001269613,281.22205320739744,182392.58079530057,126.09972220081693,0,5.0
2025-03-05,ICICIBANK,sell,0.286403913362811,1205.7881617431642,345.34244820979234,0.5326842479534957,0,5.0
2025-03-05,NTPC,sell,37.5962374312413,317.65371575927736,11942.584518601827,18.421212584465856,0,5.0
2025-03-05,KOTAKBANK,sell,21.563095840309824,385.9816562805176,8322.959446978326,12.838008813407656,0,5.0
2025-03-05,ADANIENT,sell,79.24910025518756,2243.6149360351565,177804.46499988635,274.26005176085516,0,5.0
2025-03-05,POWERGRID,sell,666.7646588046198,255.90396643066407,170627.7208638906,263.19005856235,0,5.0
2025-03-05,NESTLEIND,sell,161.11246607298753,1087.482231994629,175206.94420721143,270.2534246660329,0,5.0
2025-03-05,TATACONSUM,sell,177.57934133770885,949.2860448303223,168573.5905820474,260.0216011368167,0,5.0
2025-03-05,BEL,sell,648.5714001269613,271.48082986450197,176074.70193284942,271.5919246792329,0,5.0
2025-03-05,ITC,buy,24.67800343672266,389.7524875946045,9618.313228330855,6.649758563886793,0,5.0
2025-03-05,RELIANCE,buy,148.9500717529363,1171.5089236450194,174496.33823613083,120.64054185038887,0,5.0
2025-03-05,SBIN,buy,4.939641948273502,716.3314974975585,3538.4211139085155,2.4463380996518334,0,5.0
2025-03-05,TATASTEEL,buy,1221.6047721728853,142.84189306640624,174496.33823613083,120.64054185038887,0,5.0
2025-03-05,HDFCLIFE,buy,281.53769939658713,619.7974147338867,174496.33823613086,120.64054185038887,0,5.0
2025-03-05,APOLLOHOSP,buy,28.13855413490239,6201.32567578125,174496.33823613083,120.64054185038887,0,5.0
2025-03-05,BRITANNIA,buy,37.41828982213853,4663.396939453125,174496.33823613086,120.64054185038887,0,5.0
2025-04-04,NTPC,sell,9.269944259190973,341.21962466430665,3163.086900780188,4.879002206905277,0,5.0
2025-04-04,KOTAKBANK,sell,451.6326780456391,425.68603732299806,192253.7250428215,296.5477643179273,0,5.0
2025-04-04,ICICIBANK,sell,144.57094092750975,1324.4131457519532,191471.65465812298,295.3414354206851,0,5.0
2025-04-04,RELIANCE,sell,148.9500717529363,1199.3076389770508,178636.95887947635,275.54415795305397,0,5.0
2025-04-04,TATASTEEL,sell,1221.6047721728853,137.12203273773193,167508.92956245993,258.37938148648334,0,5.0
2025-04-04,HDFCLIFE,sell,281.53769939658713,686.8070594482422,193362.07944639315,298.2573801933955,0,5.0
2025-04-04,APOLLOHOSP,sell,28.13855413490239,6693.726657714844,188351.78992234837,290.52910259247994,0,5.0
2025-04-04,BRITANNIA,sell,37.41828982213853,4955.9402238769535,185442.80763822197,286.04205198991815,0,5.0
2025-04-04,WIPRO,buy,782.196241515782,235.58732402801513,184275.5194034741,127.4015187671935,0,5.0
2025-04-04,BEL,buy,662.1308347266894,278.3068084716797,184275.51940347414,127.4015187671935,0,5.0
