date,total_value
2024-09-25,1642158.274499337
2024-09-26,1655539.7530174714
2024-09-27,1653196.7947996096
2024-09-30,1629951.3585790494
2024-10-01,1629070.4674655534
2024-10-03,1594540.0785105613
2024-10-04,1579668.2881295914
2024-10-07,1565847.967468945
2024-10-08,1579576.7701785672
2024-10-09,1577606.4207613035
2024-10-10,1578648.3933357664
2024-10-11,1576488.717699066
2024-10-14,1586826.299298975
2024-10-15,1582367.9443452451
2024-10-16,1576933.9734985228
2024-10-17,1562949.364548437
2024-10-18,1569529.6532345365
2024-10-21,1564922.797454617
2024-10-22,1545409.4928783122
2024-10-23,1543098.2329265059
2024-10-24,1540818.5479011987
2024-10-25,1527014.0147038018
2024-10-28,1537013.769258084
2024-10-29,1545077.956150074
2024-10-30,1537121.0746723576
2024-10-31,1528564.2695911624
2024-11-01,1534816.10503794
2024-11-04,1515302.8004616355
2024-11-05,1529066.3849262288
2024-11-06,1546164.2076253695
2024-11-07,1528185.370473176
2024-11-08,1524955.2308244298
2024-11-11,1524519.5955103908
2024-11-12,1508236.307243276
2024-11-13,1487750.593602451
2024-11-14,1486086.4963043153
2024-11-18,1481104.0715744381
2024-11-19,1485189.8177275697
2024-11-21,1474542.7771800605
2024-11-22,1509739.3230804447
2024-11-25,1529609.4489940982
2024-11-26,1527879.1183540483
2024-11-27,1532956.3912029786
2024-11-28,1510175.0817340408
2024-11-29,1523875.3930060798
2024-12-02,1533029.0382018373
2024-12-03,1544465.4519118187
2024-12-04,1545115.8213939616
2024-12-05,1560331.8524775032
2024-12-06,1558399.4916436835
2024-12-09,1554686.230951593
2024-12-10,1554121.089103086
2024-12-11,1556126.0969357644
2024-12-12,1550246.7469500285
2024-12-13,1564114.5533399796
2024-12-16,1557796.3612117323
2024-12-17,1536814.82255323
2024-12-18,1528153.7955466772
2024-12-19,1512546.284710372
2024-12-20,1489547.1575844146
2024-12-23,1500026.8263535684
2024-12-24,1498397.6341499602
2024-12-26,1499821.5893313256
2024-12-27,1503812.7340445174
2024-12-30,1493171.9838143967
2024-12-31,1493165.6934970082
2025-01-01,1499360.669408176
2025-01-02,1527509.7163819228
2025-01-03,1515896.4337477253
2025-01-06,1491350.135223323
2025-01-07,1497150.4245532549
2025-01-08,1495953.6608352135
2025-01-09,1485695.0165515516
2025-01-10,1479695.7805167655
2025-01-13,1457874.2994775707
2025-01-14,1463564.199904313
2025-01-15,1465910.118271534
2025-01-16,1472136.7924487577
2025-01-17,1465278.619741557
2025-01-20,1474217.5307692108
2025-01-21,1454003.2874925425
2025-01-22,1462256.9239435256
2025-01-23,1465414.4165934133
2025-01-24,1458268.9860588065
2025-01-27,1441657.4912314825
2025-01-28,1449746.962732583
2025-01-29,1462746.3353042582
2025-01-30,1468202.507271175
2025-01-31,1484552.0288802038
2025-02-01,1482894.345239013
2025-02-03,1475246.9227088967
2025-02-04,1499130.1477768228
2025-02-05,1496417.9109263923
2025-02-06,1490548.0580865175
2025-02-07,1487807.3297985038
2025-02-10,1476544.5781842666
2025-02-11,1456980.8277292978
2025-02-12,1455304.1497963849
2025-02-13,1454429.5490002774
2025-02-14,1447978.7668486459
2025-02-17,1449889.0499018277
2025-02-18,1448992.3713250826
2025-02-19,1448209.2884799992
2025-02-20,1446962.0788832936
2025-02-21,1439557.7586193073
2025-02-24,1424240.7124388805
2025-02-25,1423874.5172952276
2025-02-27,1423716.6426627333
2025-02-28,1397171.503283484
2025-03-03,1396830.5927489414
2025-03-04,1394516.1259686626
2025-03-05,1410597.2607024508
2025-03-06,1423694.4415425388
2025-03-07,1424187.0597317438
2025-03-10,1418364.692621174
2025-03-11,1420739.102425978
2025-03-12,1419008.7717859284
2025-03-13,1414379.8382253707
2025-03-17,1421424.2536630924
2025-03-18,1441982.7376423322
2025-03-19,1446611.5478633333
2025-03-20,1464486.163090169
2025-03-21,1474574.3521065596
2025-03-24,1494021.3000013938
2025-03-25,1494671.7928230932
2025-03-26,1483191.1002122797
2025-03-27,1489828.125094432
2025-03-28,1485243.4704347067
2025-04-01,1462910.5002541412
2025-04-02,1473434.4479241276
2025-04-03,1468240.3725150626
2025-04-04,1446412.601158479
2025-04-07,1399501.7575270124
2025-04-08,1423135.59001142
2025-04-09,1414503.0544424502
2025-04-11,1441619.6259875954
2025-04-15,1473194.55248647
2025-04-16,1480055.68534303
2025-04-17,1506228.2159216814
2025-04-21,1523524.9853256762
2025-04-22,1526158.2848598596
2025-04-23,1536369.566753773
2025-04-24,1531175.4913447083
2025-04-25,1518081.3939935362
2025-04-28,1536341.1986557466
2025-04-29,1536811.6157247573
2025-04-30,1536701.1034820112
2025-05-02,1537490.4766444832
2025-05-05,1544718.0513238097
2025-05-06,1539568.1314760207
2025-05-07,1541765.7956961647
2025-05-08,1532886.9510325927
2025-05-09,1516101.670769968
2025-05-12,1573991.0916771824
2025-05-13,1552119.164759323
2025-05-14,1557711.1335780965
2025-05-15,1582667.9061469843
2025-05-16,1579996.7413689136
2025-05-19,1575301.4511268856
2025-05-20,1558784.6810790582
2025-05-21,1566965.6705311828
2025-05-22,1554098.8879828912
2025-05-23,1569472.7936989274
2025-05-26,1578818.9719425943
2025-05-27,1567770.831156904
2025-05-28,1563113.52949832
2025-05-29,1568238.1647369987
2025-05-30,1563003.017255574
2025-06-02,1560849.631936262
2025-06-03,1549855.2671972653
2025-06-04,1554761.9614393678
2025-06-05,1563015.7212299074
2025-06-06,1578938.9813312013
2025-06-09,1585263.3404372807
2025-06-10,1585329.697118751
2025-06-11,1587675.7388255286
2025-06-12,1571686.1220427644
2025-06-13,1560975.9316422576
2025-06-16,1575367.807808356
2025-06-17,1569488.5811621768
2025-06-18,1566877.3594086312
2025-06-19,1565690.0928364508
2025-06-20,1585844.3930885938
2025-06-23,1576971.83874241
2025-06-24,1581546.9962562744
2025-06-25,1594202.2514649348
2025-06-26,1613415.5942395
2025-06-27,1619023.3505215228
2025-06-30,1611398.0057720444
2025-07-01,1612960.9646337389
2025-07-02,1607378.4929608263
2025-07-03,1604341.009699546
2025-07-04,1607858.407175698
2025-07-07,1607877.40146742
2025-07-08,1611742.1231350596
2025-07-09,1608811.9452880528
2025-07-10,1601180.3102211861
2025-07-11,1588209.305747537
2025-07-14,1583943.607181273
2025-07-15,1591111.1154965176
2025-07-16,1592137.3006077309
2025-07-17,1585784.326724512
2025-07-18,1576750.814256918
2025-07-21,1584473.9672748088
2025-07-22,1582592.17565921
2025-07-23,1592633.0022858519
2025-07-24,1582667.9061469843
2025-07-25,1568452.8989051024
2025-07-28,1558595.231520065
2025-07-29,1567448.7915745268
2025-07-30,1569592.8030875344
2025-07-31,1564117.6368288957
2025-08-01,1551298.2166703525
2025-08-04,1561238.0282001095
2025-08-05,1556615.508296497
2025-08-06,1551857.0682014711
2025-08-07,1553243.2814785058
2025-08-08,1538538.8628758912
2025-08-11,1552542.3427781418
2025-08-12,1546375.7349650005
2025-08-13,1554708.308732231
2025-08-14,1555463.023479288
2025-08-18,1570975.6861965398
2025-08-19,1577524.3999561404
2025-08-20,1581938.5993485944
2025-08-21,1584035.1251322972
2025-08-22,1570543.1343714164
2025-08-25,1576709.7421845582
2025-08-26,1560562.3741088563
2025-08-28,1547228.25798047
2025-08-29,1542551.9620301642
2025-09-01,1555068.336898052
2025-09-02,1552198.1020755705
2025-09-03,1560751.8236678494
2025-09-04,1561967.458338056
2025-09-05,1562390.5130173184
2025-09-08,1564420.8054591073
2025-09-09,1570448.40959192
2025-09-10,1577047.569230185
2025-09-11,1579093.6491352231
2025-09-12,1585945.408185479
2025-09-15,1583116.245435357
2025-09-16,1593845.4301275862
2025-09-17,1599601.5638962423
2025-09-18,1605496.5780056708
2025-09-19,1599399.5337024722
2025-09-22,1591524.673029919
2025-09-23,1589450.225026854
2025-09-24,1582339.5762472188
2025-09-25,1571853.49382112
2025-09-26,1556940.63136779
2025-09-29,1555690.3382821686
2025-09-30,1554187.3224449994
2025-10-01,1568408.7433438266
2025-10-03,1572068.2279892236
2025-10-06,1583649.935696922
2025-10-07,1585585.5033592146
2025-10-08,1581660.7153274931
2025-10-09,1590227.017554549
2025-10-10,1596766.1108287321
2025-10-13,1593103.4193548625
2025-10-14,1587934.628554908
2025-10-15,1599178.5092169798
2025-10-16,1615707.983239141
2025-10-17,1623573.2234262766
2025-10-20,1631991.1481666993
2025-10-21,1633598.2625896696
2025-10-23,1635038.1285738407
2025-10-24,1628959.9552228074
2025-10-27,1639752.2897680341
2025-10-28,1637867.167984406
2025-10-29,1645299.979685975
2025-10-30,1634182.3987298985
2025-10-31,1624346.809125499
2025-11-03,1626951.7405616562
2025-11-04,1616487.8592557518
2025-11-06,1610933.7556808658
2025-11-07,1609835.0469103502
2025-11-10,1615016.4183450816
2025-11-11,1622632.2659486989
2025-11-12,1634053.015534987
2025-11-13,1634264.5428746182
2025-11-14,1636215.89800016
2025-11-17,1642745.494128482
2025-11-18,1636215.89800016
2025-11-19,1645221.0423697277
2025-11-20,1654030.446862914
2025-11-21,1646199.8650911928
2025-11-24,1639338.6088950762
2025-11-25,1634621.364211967
2025-11-26,1654860.8920977456
2025-11-27,1655508.1780909724
2025-11-28,1654712.3912715556
2025-12-01,1652994.7646058393
2025-12-02,1643929.55387219
2025-12-03,1641012.0799995165
2025-12-04,1644027.485480159
2025-12-05,1653670.4186970927
2025-12-08,1639404.9655765463
2025-12-09,1631770.1236812072
2025-12-10,1626613.9135160295
2025-12-11,1635489.674690686
2025-12-12,1644861.0142039065
2025-12-15,1643620.2182641462
2025-12-16,1633061.4888391886
2025-12-17,1630437.686450866
2025-12-18,1630248.2368918727
2025-12-19,1639774.367548672
2025-12-22,1652783.2372662083
2025-12-23,1653083.1990679475
2025-12-24,1650869.7473845538
2025-12-26,1644567.4660591122
2025-12-29,1638239.776785004
2025-12-30,1638034.5397627612
2025-12-31,1650080.374222082
2026-01-01,1651150.8382341277
2026-01-02,1662644.1114797182
2026-01-05,1657702.6354826442
2026-01-06,1653181.0073363602
2026-01-07,1650784.519750918
2026-01-08,1634119.2488769006
2026-01-09,1621896.6688329205
2026-01-12,1628650.496275207
2026-01-13,1624991.01162981
2026-01-14,1620778.8424311262
2026-01-16,1622594.4007048113
2026-01-19,1615720.5638739178
2026-01-20,1593428.6657657123
2026-01-21,1588692.426790881
